purchase_month,orders,revenue,freight,contribution_proxy,contribution_margin_proxy
2016-09,3,267.36,87.39,179.97,0.6731373429084381
2016-10,308,49507.66,7301.18,42206.48,0.8525242356435347
2016-12,1,10.9,8.72,2.1799999999999997,0.19999999999999996
2017-01,789,120312.87,16875.62,103437.25,0.8597355378522681
2017-02,1733,247303.02,38977.6,208325.42,0.8423893084686148
2017-03,2641,374344.3,57704.29,316640.01,0.8458523610483718
2017-04,2391,359927.23,52495.01,307432.22,0.8541510460322771
2017-05,3660,506071.14,80119.81,425951.33,0.8416827128296627
2017-06,3217,433038.6,69924.44,363114.16,0.838526080584964
2017-07,3969,498031.48,86940.14,411091.34,0.8254324405356867
2017-08,4293,573971.68,94232.92,479738.76,0.8358230496668406
2017-09,4243,624401.6900000001,95997.22,528404.47,0.8462572707002121
2017-10,4568,664219.43,105092.94,559126.49,0.841779786538313
2017-11,7451,1010271.37,168872.4,841398.97,0.8328445158254856
2017-12,5624,743914.17,119633.06,624281.11,0.8391843241808392
2018-01,7220,950030.36,157271.53,792758.83,0.8344563114804036
2018-02,6694,844178.71,142730.25,701448.46,0.8309241297971137
2018-03,7188,983213.4400000001,171913.38,811300.06,0.8251515154227347
2018-04,6934,996647.75,163050.29,833597.46,0.8364012862117032
2018-05,6853,996517.68,153264.14,843253.54,0.8462002801596054
2018-06,6160,865124.31,157552.8,707571.51,0.8178842067216906
2018-07,6273,895507.22,163220.81,732286.41,0.8177336750004093
2018-08,6452,854686.33,148622.13999999998,706064.19,0.8261091411161332
2018-09,1,145.0,21.46,123.53999999999999,0.852
